Longitude,Latitude,Height,Gravity(mgal)
-21.0,45.0,0.0,980641.8412359984
-20.0,45.0,0.0,980637.8552008129
-19.0,45.0,0.0,980636.4167451689
-18.0,45.0,0.0,980637.8401783984
-17.0,45.0,0.0,980641.1818016206
-16.0,45.0,0.0,980644.3567547756
-15.0,45.0,0.0,980644.9453820752
-14.0,45.0,0.0,980641.3267565216
-13.0,45.0,0.0,980633.5159681715
-12.0,45.0,0.0,980623.2056138169
-11.0,45.0,0.0,980612.9637810166
-10.0,45.0,0.0,980605.0390989532
-9.0,45.0,0.0,980600.4466471573
-8.0,45.0,0.0,980598.8121945133
-7.0,45.0,0.0,980598.9686564682
-6.0,45.0,0.0,980599.8480793248
-5.0,45.0,0.0,980601.0851442675
-4.0,45.0,0.0,980603.0083622426
-3.0,45.0,0.0,980606.1432441677
-2.0,45.0,0.0,980610.6692280812
-1.0,45.0,30.0,980606.991383622
0.0,45.0,43.0,980609.027891044
1.0,45.0,211.0,980563.3356527203
2.0,45.0,569.0,980459.0943708152
3.0,45.0,1007.0,980330.3033803082
4.0,45.0,756.0,980413.7864705616
5.0,45.0,173.0,980598.1873700394
6.0,45.0,2309.0,979940.0615725843
7.0,45.0,2557.0,979859.6358222904
8.0,45.0,235.0,980566.9159768844
9.0,45.0,88.0,980600.1432035516
10.0,45.0,39.0,980603.5967341895
11.0,45.0,13.0,980604.063320524
12.0,45.0,0.0,980606.729518619
13.0,45.0,0.0,980611.2239445983
14.0,45.0,203.0,980556.4332506522
15.0,45.0,810.0,980377.108736688
16.0,45.0,433.0,980499.0886974736
17.0,45.0,551.0,980465.894680288
18.0,45.0,125.0,980599.3690448717
19.0,45.0,91.0,980612.5144571756
20.0,45.0,98.0,980614.3999785043
21.0,45.0,153.0,980601.99311584
22.0,45.0,620.0,980460.9188227501
23.0,45.0,279.0,980565.7383131266
24.0,45.0,399.0,980524.2577176528
25.0,45.0,447.0,980502.1336039248
26.0,45.0,209.0,980567.6555384297
27.0,45.0,58.0,980607.9335419005
28.0,45.0,1.0,980621.8536530032
29.0,45.0,0.0,980620.7440460993
30.0,45.0,0.0,980620.2859021293
31.0,45.0,0.0,980619.5033066509
32.0,45.0,0.0,980617.7226961032
33.0,45.0,0.0,980614.9344533224
34.0,45.0,201.0,980549.4672538091
35.0,45.0,387.0,980488.3885159548
36.0,45.0,0.0,980604.3888692008
37.0,45.0,0.0,980602.4042343955
38.0,45.0,2.0,980602.6638875008
39.0,45.0,18.0,980602.7274908045
40.0,45.0,79.0,980592.9555591635
41.0,45.0,215.0,980561.8130957896
42.0,45.0,490.0,980485.3154995607
43.0,45.0,403.0,980513.5646870851
44.0,45.0,215.0,980563.5769693246
45.0,45.0,44.0,980600.4076631312
46.0,45.0,0.0,980595.5965898705
47.0,45.0,0.0,980582.0159159016
48.0,45.0,0.0,980578.7787835725
49.0,45.0,0.0,980586.8366997731
50.0,45.0,0.0,980601.8887789192
51.0,45.0,0.0,980616.4514895059
52.0,45.0,0.0,980623.6109059912
53.0,45.0,0.0,980620.4317746976
54.0,45.0,0.0,980609.1865593238
55.0,45.0,51.0,980580.0891128946
56.0,45.0,70.0,980565.0157511192
57.0,45.0,133.0,980543.9214984355
58.0,45.0,186.0,980532.6024512781
59.0,45.0,40.0,980585.3139070948
60.0,45.0,29.0,980594.4142853647
61.0,45.0,40.0,980592.0382293172
62.0,45.0,53.0,980584.6886991018
63.0,45.0,90.0,980568.2138615916
